,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
0,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/304692162/,Екатеринбург,sale,flat,13,25,0,19.8,-1,0,3036600,2026,-1,-1,-1,Чистовая,"7,7 м²","4,7 м²",73432261920,, Бочкарева,,Чкаловская,Старт
1,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/291719434/,Екатеринбург,sale,flat,16,26,0,32.9,-1,0,3900000,2022,-1,-1,-1,-1,20 м²,4 м²,79122515743,, Николая Кичигина,9,Геологическая,NOVA park
2,ID 42654322,homeowner,https://ekb.cian.ru/sale/flat/308855131/,Екатеринбург,sale,flat,5,5,0,18.4,-1,0,1790000,1978,-1,-1,-1,-1,"18,4 м²",-1,79120510180,Ленинский, Амундсена,51,Чкаловская,
3,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298036710/,Екатеринбург,sale,flat,2,24,0,36.7,-1,0,8023500,2024,-1,Монолитно-кирпичный,-1,Предчистовая,"14,5 м²","8,4 м²",73432260879,Центр, Большакова,66,Геологическая,RedRock
4,Новый ориентир,real_estate_agent,https://ekb.cian.ru/sale/flat/305369832/,Екатеринбург,sale,flat,10,25,0,28.1,-1,0,3800000,2017,-1,-1,-1,-1,17 м²,5 м²,79126068527,Чкаловский,Светлый мкр,3,Ботаническая,
5,ID 90042500,homeowner,https://ekb.cian.ru/sale/flat/308311883/,Екатеринбург,sale,flat,9,9,0,18.5,-1,0,3149000,1977,-1,-1,-1,-1,-1,3 м²,79122062507,Центр,переулок Саперов,5,Геологическая,
6,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/301223224/,Екатеринбург,sale,flat,27,29,0,29.3,-1,0,8200800,2024,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","12,8 м²",-1,73432261735,Центр, Свердлова,32,Динамо,Екатерининский парк
7,АЗБУКА НЕДВИЖИМОСТИ,real_estate_agent,https://ekb.cian.ru/sale/flat/308224254/,Екатеринбург,sale,flat,18,26,0,22.3,-1,0,3700000,2022,-1,-1,-1,-1,"13,3 м²",4 м²,79120515841,Орджоникидзевский, Победы,102,Проспект Космонавтов,Народные Кварталы
8,ID 19446256,unknown,https://ekb.cian.ru/sale/flat/305187739/,Екатеринбург,sale,flat,3,5,0,13.3,-1,0,1690000,1978,-1,-1,-1,-1,7 м²,2 м²,79827202388,Чкаловский, Самолетная,27,Ботаническая,
9,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/309428170/,Екатеринбург,sale,flat,27,31,0,22.3,-1,0,3895200,2025,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","10,4 м²","2,3 м²",73432261974,Верх-Исетский,,,Площадь 1905 года,Русь-2 ЖК
10,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/299873890/,Екатеринбург,sale,flat,18,25,0,24.0,-1,0,2690000,2023,-1,-1,-1,-1,11 м²,6 м²,79090303944,Октябрьский, Латвийская,58/3,Геологическая,Хрустальные Ключи
11,ID 17544065,homeowner,https://ekb.cian.ru/sale/flat/302854749/,Екатеринбург,sale,flat,2,3,0,26.0,-1,0,1420000,-1,-1,-1,-1,-1,-1,-1,79827125897,Орджоникидзевский, Молодежи,48,Проспект Космонавтов,
12,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/305791379/,Екатеринбург,sale,flat,16,25,0,22.2,-1,0,3627000,2025,-1,-1,-1,С отделкой,"11,4 м²",5 м²,73432260767,Орджоникидзевский,,,Машиностроителей,Основинские кварталы ЖК
